Target	PDB_ID	Biounit	Ligand_index	HET_code	Canonical	SMILES        PDB_ID	Biounit	Ligand_index	HET_code	Canonical	Canonical_SMILES	FP_sim_frag_drug	FP_sim_drug_frag	MCS_sim_frag_drug	MCS_sim_drug_frag	IFP_sim
O60674	3E62	1	1	5B1	C12=CC(=CC=C1[NH]N=C2N)Br	3E64	1	1	5B3	O=S(=O)(NC(C)(C)C)C1=CC=C(C=C1)C3=CC2=C([NH]N=C2N)C=C3	0.7633587786259542	0.38910505836575876	0.8583690987124464	0.4282655246252676	0.9
O60674	4F08	1	1	1RS	C2=NC1=CN=C4C(=C1[N]2C3CC[NH2+]CC3)C=C[NH]4	4E4M	2	1	0NH	CC1(CCN(CC1)S(=O)(=O)C)[N]2C=NC4=C2C3=C([NH]C=C3)N=C4	0.6599450045829515	0.5585725368502715	0.9863013698630136	0.7912087912087912	0.5555555555555556
O60674	4F08	1	1	1RS	C2=NC1=CN=C4C(=C1[N]2C3CC[NH2+]CC3)C=C[NH]4	4IVA	1	1	1J5	C[C@@H](O)C1=NC3=C([N]1C2CCC(CC2)C#N)C4=C(N=C3)[NH]C=C4	0.6410256410256411	0.5351681957186545	0.9315068493150684	0.7472527472527473	0.625
O60674	4F08	2	1	1RS	C2=NC1=CN=C4C(=C1[N]2C3CC[NH2+]CC3)C=C[NH]4	4E4M	1	1	0NH	CC1(CCN(CC1)S(=O)(=O)C)[N]2C=NC4=C2C3=C([NH]C=C3)N=C4	0.6599450045829515	0.5585725368502715	0.9863013698630136	0.7912087912087912	0.625
O60674	4F08	2	1	1RS	C2=NC1=CN=C4C(=C1[N]2C3CC[NH2+]CC3)C=C[NH]4	4E4M	2	1	0NH	CC1(CCN(CC1)S(=O)(=O)C)[N]2C=NC4=C2C3=C([NH]C=C3)N=C4	0.6599450045829515	0.5585725368502715	0.9863013698630136	0.7912087912087912	0.5555555555555556
O60674	4F08	2	1	1RS	C2=NC1=CN=C4C(=C1[N]2C3CC[NH2+]CC3)C=C[NH]4	4E4M	4	1	0NH	CC1(CCN(CC1)S(=O)(=O)C)[N]2C=NC4=C2C3=C([NH]C=C3)N=C4	0.6599450045829515	0.5585725368502715	0.9863013698630136	0.7912087912087912	0.625
P00489	3G2I	1	1	RUG	O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1[N]2C=C(N=N2)CO	3G2L	1	1	LEW	C12=CC=CC=C1C=CC=C2C3=C[N](N=N3)[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O	0.7960199004975125	0.5498281786941581	0.923913043478261	0.6640625	0.8461538461538461
P00489	3G2I	1	1	RUG	O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1[N]2C=C(N=N2)CO	4EKE	1	1	D1I	N1(C(=O)N[C@H]2C(=C1)C=C(O2)CCCCC)[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@H](O3)CO	0.638085742771685	0.4516584333098095	0.7065217391304348	0.5078125	0.6153846153846154
P00800	1ZDP	1	1	TIO	[S-]C[C@H](C(=O)NCC(=O)[O-])CC1=CC=CC=C1	3T8G	1	1	UBT	C1=CC=CC=C1COC(=O)NCP(=O)([O-])N[C@H](C(=O)NCC(=O)[O-])CC(C)C	0.7636738906088752	0.49631120053655264	0.6837606837606838	0.4371584699453552	0.2222222222222222
P00800	1ZDP	1	1	TIO	[S-]C[C@H](C(=O)NCC(=O)[O-])CC1=CC=CC=C1	3T8H	1	1	UBS	C1=CC=CC=C1COC(=O)NCP(=O)([O-])N[C@H](C(=O)N[C@H](C(=O)[O-])C(C)C)CC(C)C	0.6557377049180328	0.394088669950739	0.6779661016949153	0.396039603960396	0.047619047619047616
P00800	3FGD	1	1	BYA	C(CCNC(C1=CC=CC=C1)=O)(=O)[O-]	3T8F	1	1	UBU	C1=CC=CC=C1COC(=O)NCP(=O)([O-])N[C@H](C(NCC)=O)CC(C)C	0.6157635467980297	0.36023054755043227	0.6164383561643836	0.35433070866141736	0.3157894736842105
P00800	3FGD	1	1	BYA	C(CCNC(C1=CC=CC=C1)=O)(=O)[O-]	3T8G	1	1	UBT	C1=CC=CC=C1COC(=O)NCP(=O)([O-])N[C@H](C(=O)NCC(=O)[O-])CC(C)C	0.6609547123623012	0.3641267700606878	0.6122448979591837	0.32967032967032966	0.3157894736842105
P00800	3FGD	1	1	BYA	C(CCNC(C1=CC=CC=C1)=O)(=O)[O-]	3T8H	1	1	UBS	C1=CC=CC=C1COC(=O)NCP(=O)([O-])N[C@H](C(=O)N[C@H](C(=O)[O-])C(C)C)CC(C)C	0.6310679611650486	0.3217821782178218	0.6734006734006734	0.33167495854063017	0.6666666666666666
P00800	3MS3	1	1	ANL	C1(=CC=CC=C1)N	3T8G	1	1	UBT	C1=CC=CC=C1COC(=O)NCP(=O)([O-])N[C@H](C(=O)NCC(=O)[O-])CC(C)C	0.6140350877192983	0.1912568306010929	0.7453416149068323	0.22263450834879406	NaN
P00800	3QGO	1	1	0A9	[NH3+][C@H](C(=O)OC)CC1=CC=CC=C1	3T8F	1	1	UBU	C1=CC=CC=C1COC(=O)NCP(=O)([O-])N[C@H](C(NCC)=O)CC(C)C	0.6357615894039736	0.34657039711191334	0.6593406593406593	0.3550295857988166	0.4117647058823529
