pdb_nsite	uniprot_ac	uniprot_functions
3u5y_1	Q9SPP9	Glycosidase;Hydrolase;Transferase
3zj6_2	Q9SPP9	Glycosidase;Hydrolase;Transferase
2zru_2	P61615	Isomerase
3ruf_1	Q7BJX9	Isomerase
2f98_2	O52646	Isomerase
3t7v_1	Q46E78	Isomerase
3b04_1	P61615	Isomerase
3b05_3	P61615	Isomerase
4u8m_1	Q4W1X2	Isomerase
1udc_1	P09147	Isomerase
4gde_1	Q4W1X2	Isomerase
3nhx_1	P00947	Isomerase
2pak_1	Q6T1W8	Isomerase
7req_2	P11653	Isomerase
3dh7_2	Q53W52	Isomerase
4zdc_1	Q05871	Isomerase
4lis_2	C8VAU8	Isomerase
1kvs_1	P09147	Isomerase
4tx9_1	B5I4P8	Isomerase
3b99_4	A9LLA5	Isomerase
2ixk_1	Q9HU21	Isomerase
2zrx_2	P61615	Isomerase
1kvt_1	P09147	Isomerase
2c5e_1	Q93VR3	Isomerase
2oem_2	Q5L1E2	Isomerase
1p1i_1	P11986	Isomerase
1cqs_2	P07445	Isomerase
3ypi_1	P00942	Isomerase
4rph_4	P9WIQ1	Isomerase
3enk_2	Q3JPI3	Isomerase
4hmz_2	Q5SFD1	Isomerase
4gdc_7	Q4W1X2	Isomerase
1vfs_1	Q65YW7	Isomerase
3ru7_3	Q7BJX9	Isomerase
4lis_1	C8VAU8	Isomerase
1d7a_2	P0AG18	Isomerase
3rno_1	Q8K4Z3	Isomerase
4b1f_2	Q9ZLT0	Isomerase
3fzw_1	P07445	Isomerase
4rpg_1	P9WIQ1	Isomerase
3koz_2	E3PY95	Isomerase
3lu1_2	Q7BJX9	Isomerase
3ukk_1	Q4W1X2	Isomerase
4gdd_4	Q4W1X2	Isomerase
3ruc_2	Q7BJX9	Isomerase
1gs3_1	P07445	Isomerase
1jx0_1	P28012	Isomerase
3utg_4	Q4W1X2	Isomerase
2jfz_2	Q9ZLT0	Isomerase
3int_3	Q48485	Isomerase
2x86_3	P67911	Isomerase
2ktd_1	O09114	Isomerase
3ows_2	P07445	Isomerase
3inr_2	Q48485	Isomerase
3vgn_2	P07445	Isomerase
4fkz_2	P39131	Isomerase
4rpj_1	P9WIQ1	Isomerase
3owy_1	P07445	Isomerase
3roe_3	Q8K4Z3	Isomerase
3ukf_3	Q4W1X2	Isomerase
1oh0_2	P07445	Isomerase
1lrk_1	P09147	Isomerase
2ji5_2	Q8U122	Kinase;Transferase
3nwy_2	P9WHK5	Kinase;Transferase
4bfv_1	P9WPA7	Kinase;Transferase
1dgm_1	Q9TVW2	Kinase;Transferase
4bft_2	P9WPA7	Kinase;Transferase
3fi8_1	Q8IM71	Kinase;Transferase
3mes_1	Q5CUP2	Kinase;Transferase
1fwk_1	Q58504	Kinase;Transferase
2dxe_1	O58429	Kinase;Transferase
4bfz_1	P9WPA7	Kinase;Transferase
2v8p_2	O67060	Kinase;Transferase
3tr0_1	Q83EL7	Kinase;Transferase
3igo_1	A3FQ16	Kinase;Transferase
5htp_1	Q31KC7	Kinase;Transferase
2i5b_5	P39610	Kinase;Transferase
3t9f_1	O43314	Kinase;Transferase
2pul_2	O31663	Kinase;Transferase
4v26_1	Q15119	Kinase;Transferase
1i5a_1	Q56310	Kinase;Transferase
3zoz_1	P00558	Kinase;Transferase
3vtk_1	P03176	Kinase;Transferase
